"os_id","contribution_date","name","address","country_code","country_name","lat","lng","sector","contributor (list)","number_of_workers","parent_company","processing_type_facility_type_raw","facility_type","processing_type","product_type","is_closed"
"US2020349XZW60T","2020-12-14","Tommy's Tee Inc.","2305 S Service Rd W Ruston LA 71270","US","United States",32.5392558,-92.6666333,"Apparel","Worker Rights Consortium (API)","","","","","","","False"
"US2020349XZW60T","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2020349XZW60T","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2020349XZW60T","2020-12-15","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2021007WCD34G","2021-01-07","Trinity USA","227 Marketridge Drive Ridgeland MS 39157","US","United States",32.4100578,-90.1764967,"Apparel","Worker Rights Consortium (API)","","","","","","","False"
"US2021007WCD34G","2021-02-21","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2021007WCD34G","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2021007WCD34G","2021-01-08","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2021154JGFHC5","2021-06-03","TSA EMBROIDERY","1186 MS-348 NEW ALBANY MS 38652","US","United States",34.4723583,-88.96010919999999,"Apparel","Worker Rights Consortium (API)","","","","","","","False"
"US2021154JGFHC5","2021-06-03","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US201914377SVTR","2019-05-23","TY Garments USA, LLC","8909 Fourche Dam Pike Little Rock Arkansas Little Rock 72206 Arkansas United States","US","United States",34.7097679,-92.18798199999999,"Apparel","A Brand / Retailer (List)","","","","","","","False"
"US201914377SVTR","2021-03-19","","","","","","","Apparel","mhibanada (2018 Adidas Supplier List Tier 1 & 2)","","","","","","",""
"US201914377SVTR","2021-03-18","","","","","","","Apparel","mhibanada (2020 Adidas Supplier List Tier 1 & 2)","","","","","","",""
"US201914377SVTR","2021-03-18","","","","","","","Apparel","mhibanada (2019 Adidas Supplier List Tier 1 & 2)","","","","","","",""
"US2022297Z9RTYR","2022-10-24","Tyson North Little Rock","3800 Progress Street North Little Rock 72114 Arkansas","US","United States",34.7573895,-92.2236762,"Food & Beverage","Target Corporation (Target Factory List Oct 2022)","","","Final Product Assembly","","Final Product Assembly","Frozen Meat|Processed Meat","False"
"US2022297F015K8","2022-10-24","Tyson Pine Bluff","5505 Jefferson Parkway Pine Bluff 71602 Arkansas","US","United States",34.2642476,-92.0757124,"Food & Beverage","Target Corporation (Target Factory List Oct 2022)","","","Final Product Assembly","","Final Product Assembly","Frozen Meat|Processed Meat","False"
"US2021154R30CEC","2021-06-03","Varsity Pro Inc.","307 Boland St Calhoun City MS 38916","US","United States",33.8582083,-89.30622679999999,"Apparel","Worker Rights Consortium (API)","","","","","","","False"
"US2021154R30CEC","2021-06-03","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
